City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,1580168236,87,-54.8,-68.3,48.2,24.16
Balassagyarmat,90,HU,1580168505,100,48.07,19.3,32.0,2.24
Fortuna,90,US,1580167912,87,40.6,-124.16,55.99,8.05
Luderitz,0,NA,1580168507,55,-26.65,15.16,64.4,14.99
Khatanga,1,RU,1580168507,92,71.97,102.5,-16.49,5.95
Tuatapere,79,NZ,1580168508,49,-46.13,167.68,66.0,5.01
Cape Town,68,ZA,1580168509,77,-33.93,18.42,62.01,9.17
Ucluelet,90,CA,1580168510,81,48.93,-125.55,46.4,12.75
Kapaa,90,US,1580168426,83,22.08,-159.32,78.8,5.82
Port-Gentil,20,GA,1580168511,88,-0.72,8.78,82.4,4.7
Binzhou,100,CN,1580168512,49,37.37,118.02,37.0,2.44
Kamaishi,75,JP,1580168513,74,39.27,141.88,30.2,8.05
Hilo,40,US,1580168513,54,19.73,-155.09,82.4,11.41
Tuni,68,IN,1580168514,87,17.35,82.55,71.82,0.27
Albany,75,US,1580168515,69,42.6,-73.97,37.4,12.75
Rikitea,79,PF,1580168515,78,-23.12,-134.97,80.01,10.31
Muncar,49,ID,1580168516,76,-8.43,114.33,82.74,1.03
Lata,75,PT,1580168517,93,40.16,-8.33,59.0,8.05
Punta Arenas,75,CL,1580168240,76,-53.15,-70.92,51.8,13.87
Upernavik,100,GL,1580167984,91,72.79,-56.15,-13.27,5.08
Hobart,75,AU,1580168371,42,-42.88,147.33,70.0,19.46
Vaini,75,TO,1580167957,78,-21.2,-175.2,82.4,4.7
East London,98,ZA,1580168521,73,-33.02,27.91,66.9,6.4
Moanda,84,GA,1580168522,75,-1.56,13.22,74.37,2.82
Mar del Plata,0,AR,1580168415,67,-38.0,-57.56,61.0,8.05
Namatanai,56,PG,1580168524,74,-3.67,152.43,83.97,7.09
Tamandare,98,BR,1580168525,81,-8.76,-35.1,81.27,14.76
Doha,0,QA,1580168516,62,25.29,51.53,57.2,4.7
Jamestown,90,US,1580167949,92,42.1,-79.24,33.01,11.41
Longyearbyen,34,SJ,1580167945,77,78.22,15.64,3.2,3.36
Geraldton,0,AU,1580168529,83,-28.77,114.6,71.6,3.36
Lianzhou,0,CN,1580168529,82,24.78,112.38,33.94,5.23
Narsaq,99,GL,1580168082,61,60.92,-46.05,14.0,3.36
Bluff,11,NZ,1580168531,49,-46.6,168.33,66.0,5.01
Mataura,69,NZ,1580168532,49,-46.19,168.86,66.0,5.01
Port Alfred,100,ZA,1580168532,82,-33.59,26.89,60.01,1.99
Clyde River,5,CA,1580168533,67,70.47,-68.59,-23.8,4.7
Sri Aman,80,MY,1580168256,100,1.24,111.46,75.2,1.45
Ankara,75,TR,1580168385,74,39.92,32.85,39.0,4.27
